lean_name,spec_theorem,function,verified,date_proven,commit_hash,commit_message
,Curve25519Dalek/Specs/Scalar/Scalar/FromBytesModOrder.lean,curve25519_dalek::scalar::Scalar::from_bytes_mod_order,verified,2025-11-04,6f546920d9487d8677b86c11978fe7da83e632ed,Verify from_bytes_mod_order_spec (#97)
,Curve25519Dalek/Specs/Scalar/Scalar/FromBytesModOrderWide.lean,curve25519_dalek::scalar::Scalar::from_bytes_mod_order_wide,verified,2025-11-04,e57ee1890a444da46b3d55260771d5f8bced7a8e,verify from_bytes_mod_order_wide_spec (#99)
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/MINUS_ONE.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::MINUS_ONE,verified,2025-11-05,1df7393e16ba413f8b262447ef10db2f8924bb78,Specify and verify three Field51 constants (#106)
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/ONE.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::ONE,verified,2025-11-05,1df7393e16ba413f8b262447ef10db2f8924bb78,Specify and verify three Field51 constants (#106)
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/ZERO.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::ZERO,verified,2025-11-05,1df7393e16ba413f8b262447ef10db2f8924bb78,Specify and verify three Field51 constants (#106)
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/FromLimbs.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::from_limbs,verified,2025-11-05,dfccbc9927d779cbd75bc0d2027a52315dca3d98,"Add two more formal Lean specs, one proof, and an improvement of a third spec (#100)"
,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/AsMontgomery.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::as_montgomery,verified,2025-11-07,6ac21645a38676cc981cd3fd1d16d99ef59374c8,Claude proves as_montgomery (#110)
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Sub.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::sub,verified,2025-11-10,d97e2bf6754426970c9440f5699ac8e797855ebb,Proof of sub_spec theorem (#132)
,Curve25519Dalek/Specs/Field/FieldElement51/IsZero.lean,curve25519_dalek::field::FieldElement51::is_zero,verified,2025-11-11,30729cc38b855ca19bf13e22b8969430fb4a64d7,Update status.csv  for is_zero (#150)
,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/MontgomeryMul.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::montgomery_mul,verified,2025-11-12,b17c07a4557591072500914c50a5d100983b49c7,Prove montgomery_mul_spec (#158)
,Curve25519Dalek/Specs/Edwards/EdwardsPoint/Identity.lean,curve25519_dalek::edwards::EdwardsPoint::identity,verified,2025-11-12,78dde3a1ecb5b0a3a64cd0bc8a0501ec3f73ed41,Specification and proof for EdwardsPoint_identity (#146)
,Curve25519Dalek/Specs/Scalar/Scalar/IsCanonical.lean,curve25519_dalek::scalar::Scalar::is_canonical,verified,2025-11-12,3d5302fb0231664835d7ac16bc0ac166ad9fdff6,Verify: isCanonical (#153)
,Curve25519Dalek/Specs/Backend/Serial/CurveModels/ProjectivePoint/Double.lean,curve25519_dalek::backend::serial::curve_models::ProjectivePoint::double,verified,2025-11-13,ea2e98248fb70d2d8a5b3e245e52c78da7cb4a95,feat(spec): add proof for double_spec theorem (#142)
,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/Invert.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::invert,verified,2025-11-13,07418ced164de75b2ba2b43e718c8e72f48e1c15,Verify: invert (#162)
,Curve25519Dalek/Specs/Scalar/Scalar/FromCanonicalBytes.lean,curve25519_dalek::scalar::Scalar::from_canonical_bytes,verified,2025-11-19,30228fb5173ef6f4ed5b79ee7d109ff005217ee5,Verify: from_canonical_bytes (#186)
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Negate.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::negate,verified,2025-11-20,d0a2ba819261cd87f69490152858e745de1da477,feat: complete proof for FieldElement51.negate (#187)
,Curve25519Dalek/Specs/Scalar/Scalar/Invert.lean,curve25519_dalek::scalar::Scalar::invert,verified,2025-11-25,e64925f31df39251141a472657b559a9d10dc8d0,Complete scalar invert (#209)
,Curve25519Dalek/Specs/Edwards/EdwardsPoint/AsProjectiveNiels.lean,curve25519_dalek::edwards::EdwardsPoint::as_projective_niels,verified,2025-11-27,550d2c4c2fb065363566f38f3cbb2be0ae6ead50,feat(proof): as_projective_niels proof (#214)
,Curve25519Dalek/Specs/Edwards/EdwardsPoint/ToAffine.lean,curve25519_dalek::edwards::EdwardsPoint::to_affine,verified,2025-11-27,c3c3fd78044bdb397f6b8256cc83f57b57636e2a,"Proof of ""curve25519_dalek::edwards::EdwardsPoint::to_affine"" + other improvements (#234)"
,Curve25519Dalek/Specs/Field/FieldElement51/InvSqrt.lean,curve25519_dalek::field::FieldElement51::invsqrt,verified,2025-11-28,bdb5ef1f8f44ad7645d4cb1a04268919b896f404,complete InvSqrt proof (#215)
,Curve25519Dalek/Specs/Scalar/Scalar/Reduce.lean,curve25519_dalek::scalar::Scalar::reduce,verified,2025-12-01,e199889b8cce37b841a76fe7b6722b972d298f81,Verify reduce and unpack (#250)
,Curve25519Dalek/Specs/Scalar/Scalar/Unpack.lean,curve25519_dalek::scalar::Scalar::unpack,verified,2025-12-01,e199889b8cce37b841a76fe7b6722b972d298f81,Verify reduce and unpack (#250)
curve25519_dalek.backend.serial.u64.constants.MINUS_ONE,Curve25519Dalek/Specs/Backend/Serial/U64/Constants/MINUS_ONE.lean,curve25519_dalek::backend::serial::u64::constants::MINUS_ONE,verified,2025-12-03,c15bf09f58717702b4fb33d4eb352b705d96991e,Verify: isNegative MINUS_ONE SQRT_AD_MINUS_ONE; Specify: CompletedPoint::add AffinePoint::compress (#257)
curve25519_dalek.backend.serial.u64.constants.SQRT_AD_MINUS_ONE,Curve25519Dalek/Specs/Backend/Serial/U64/Constants/SQRT_AD_MINUS_ONE.lean,curve25519_dalek::backend::serial::u64::constants::SQRT_AD_MINUS_ONE,verified,2025-12-03,c15bf09f58717702b4fb33d4eb352b705d96991e,Verify: isNegative MINUS_ONE SQRT_AD_MINUS_ONE; Specify: CompletedPoint::add AffinePoint::compress (#257)
,/Users/hoangtruong/Documents/lean/Max/curve25519-dalek-lean-verify/Curve25519Dalek/Specs/Field/FieldElement51/IsNegative.lean,curve25519_dalek::field::FieldElement51::is_negative,verified,2025-12-03,c15bf09f58717702b4fb33d4eb352b705d96991e,Verify: isNegative MINUS_ONE SQRT_AD_MINUS_ONE; Specify: CompletedPoint::add AffinePoint::compress (#257)
,Curve25519Dalek/Specs/Field/FieldElement51/PowP58.lean,curve25519_dalek::field::FieldElement51::pow_p58,verified,2025-12-04,7c09eb5516bef69428897f1c6ba21df35627d7e2,Complete PowP58 theorem (#265)
,Curve25519Dalek/Specs/Backend/Serial/CurveModels/CompletedPoint/Add.lean,curve25519_dalek::backend::serial::curve_models::CompletedPoint::add,verified,2025-12-08,3b9bffbf07c0e9e410ec970593b5f3648dd418e8,4 proofs: CompletedPoint::as_extended CompletedPoint::as_projective CompletedPoint::add ProjectivePoint::as_extended (#279)
,Curve25519Dalek/Specs/Backend/Serial/CurveModels/CompletedPoint/AsExtended.lean,curve25519_dalek::backend::serial::curve_models::CompletedPoint::as_extended,verified,2025-12-08,3b9bffbf07c0e9e410ec970593b5f3648dd418e8,4 proofs: CompletedPoint::as_extended CompletedPoint::as_projective CompletedPoint::add ProjectivePoint::as_extended (#279)
,Curve25519Dalek/Specs/Backend/Serial/CurveModels/CompletedPoint/AsProjective.lean,curve25519_dalek::backend::serial::curve_models::CompletedPoint::as_projective,verified,2025-12-08,3b9bffbf07c0e9e410ec970593b5f3648dd418e8,4 proofs: CompletedPoint::as_extended CompletedPoint::as_projective CompletedPoint::add ProjectivePoint::as_extended (#279)
,Curve25519Dalek/Specs/Backend/Serial/CurveModels/ProjectivePoint/AsExtended.lean,curve25519_dalek::backend::serial::curve_models::ProjectivePoint::as_extended,verified,2025-12-08,3b9bffbf07c0e9e410ec970593b5f3648dd418e8,4 proofs: CompletedPoint::as_extended CompletedPoint::as_projective CompletedPoint::add ProjectivePoint::as_extended (#279)
,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/Add.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::add,verified,2025-12-08,c0fd21b3a8600eb1abac8c2e0c892e0888db6114,Proof for Scalar52::add (#164)
,Curve25519Dalek/Specs/Edwards/EdwardsPoint/ToMontgomery.lean,curve25519_dalek::edwards::EdwardsPoint::to_montgomery,verified,2025-12-08,9c023ac58292d7f8c16314f4cbb748558cc5854c,Proof of curve25519_dalek::edwards::EdwardsPoint::to_montgomery (#276)
,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/MontgomerySquare.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::montgomery_square,verified,2025-12-09,7e3690d666bb940fa233df1f484d7a3ccbcca842,Verify Montgomery square (#280)
curve25519_dalek.backend.serial.u64.field.FieldElement51.neg,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Neg.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::neg,verified,2025-12-16,bf284461b58006f1b4c6c52b37e0f02b4e4f5f03,chore: namespace correction (#313)
curve25519_dalek.backend.serial.u64.scalar.Scalar52.from_montgomery,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/FromMontgomery.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::from_montgomery,verified,2025-12-16,dc4fd24d5a758f8692315ccca9de972f06b13f2b,Two proofs: EdwardsPoint/MulByCofactor + Scalar52/FromMontgomery (#300)
curve25519_dalek.edwards.EdwardsPoint.mul_by_cofactor,Curve25519Dalek/Specs/Edwards/EdwardsPoint/MulByCofactor.lean,curve25519_dalek::edwards::EdwardsPoint::mul_by_cofactor,verified,2025-12-16,dc4fd24d5a758f8692315ccca9de972f06b13f2b,Two proofs: EdwardsPoint/MulByCofactor + Scalar52/FromMontgomery (#300)
curve25519_dalek.field.FieldElement51.invert,Curve25519Dalek/Specs/Field/FieldElement51/Invert.lean,curve25519_dalek::field::FieldElement51::invert,verified,2025-12-17,bd8b82465a0a6b0149b8cdb81137ccdbfb58b81c,Prove: Field::pow22501 and invert (#302)
curve25519_dalek.field.FieldElement51.pow22501,Curve25519Dalek/Specs/Field/FieldElement51/Pow22501.lean,curve25519_dalek::field::FieldElement51::pow22501,verified,2025-12-17,bd8b82465a0a6b0149b8cdb81137ccdbfb58b81c,Prove: Field::pow22501 and invert (#302)
curve25519_dalek.backend.serial.u64.field.ConditionallySelectablecurve25519_dalekbackendserialu64fieldFieldElement51.conditional_select,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/ConditionalSelect.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::conditional_select,verified,2025-12-19,eb2fe132b8aaa184630a3ae3972400cca4b06aa9,"Prove: from_bytes, ct_eq, conditional_select (#328)"
curve25519_dalek.field.ConstantTimeEqcurve25519_dalekbackendserialu64fieldFieldElement51.ct_eq,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/CtEq.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::ct_eq,verified,2025-12-19,eb2fe132b8aaa184630a3ae3972400cca4b06aa9,"Prove: from_bytes, ct_eq, conditional_select (#328)"
curve25519_dalek.backend.serial.u64.field.FieldElement51.from_bytes,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/FromBytes.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::from_bytes,verified,2025-12-19,eb2fe132b8aaa184630a3ae3972400cca4b06aa9,"Prove: from_bytes, ct_eq, conditional_select (#328)"
curve25519_dalek.edwards.ConstantTimeEqcurve25519_dalekedwardsEdwardsPoint.ct_eq,Curve25519Dalek/Specs/Edwards/EdwardsPoint/CtEq.lean,curve25519_dalek::edwards::EdwardsPoint::ct_eq,verified,2025-12-22,0f4b20e6e36a71e936eccbc2f5dddcb5d04e14ce,feat: ct_eq_spec proof (#266) (#272)
curve25519_dalek.backend.serial.u64.field.ConditionallySelectablecurve25519_dalekbackendserialu64fieldFieldElement51.conditional_assign,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/ConditionalAssign.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::conditional_assign,verified,2025-12-28,1bc07d8e88c8992298e577f349b597a0cbfb5fe1,Prove: Pow2K and ConditionalAssign (#339)
curve25519_dalek.backend.serial.u64.field.FieldElement51.pow2k,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Pow2K.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::pow2k,verified,2025-12-28,1bc07d8e88c8992298e577f349b597a0cbfb5fe1,Prove: Pow2K and ConditionalAssign (#339)
curve25519_dalek.backend.serial.u64.scalar.Scalar52.conditional_add_l,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/ConditionalAddL.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::conditional_add_l,verified,2025-12-31,97a141c567c6bd84e5440653b836c58d7749b469,Verify: Scalar52.sub & conditional_add_l (#346)
curve25519_dalek.backend.serial.u64.scalar.Scalar52.sub,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/Sub.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::sub,verified,2025-12-31,97a141c567c6bd84e5440653b836c58d7749b469,Verify: Scalar52.sub & conditional_add_l (#346)
curve25519_dalek.scalar.Scalar52.montgomery_invert,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/MontgomeryInvert.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::montgomery_invert,verified,2026-01-02,faa69fc96a24b7e08d8eda6c80312e113d4b8e9d,Ada/issue 337 montgomery invert (#342)
curve25519_dalek.backend.serial.u64.field.FieldElement51.Mul.mul,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Mul.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::mul,verified,2026-01-05,b3c5fe58064bab978b20dbe2fd2d5f627c853ad5,Prove: FieldElement51::Mul (#348)
curve25519_dalek.backend.serial.curve_models.AddShared0EdwardsPointSharedAProjectiveNielsPointCompletedPoint.add,Curve25519Dalek/Specs/Backend/Serial/CurveModels/CompletedPoint/Add.lean,"curve25519_dalek::backend::serial::curve_models::{core::ops::arith::Add<&'a (curve25519_dalek::backend::serial::curve_models::ProjectiveNielsPoint), curve25519_dalek::backend::serial::curve_models::CompletedPoint> for &1 (curve25519_dalek::edwards::EdwardsPoint)}::add",verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
curve25519_dalek.backend.serial.curve_models.CompletedPoint.as_extended,Curve25519Dalek/Specs/Backend/Serial/CurveModels/CompletedPoint/AsExtended.lean,curve25519_dalek::backend::serial::curve_models::{curve25519_dalek::backend::serial::curve_models::CompletedPoint}::as_extended,verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
curve25519_dalek.backend.serial.curve_models.CompletedPoint.as_projective,Curve25519Dalek/Specs/Backend/Serial/CurveModels/CompletedPoint/AsProjective.lean,curve25519_dalek::backend::serial::curve_models::{curve25519_dalek::backend::serial::curve_models::CompletedPoint}::as_projective,verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
curve25519_dalek.backend.serial.curve_models.ProjectivePoint.as_extended,Curve25519Dalek/Specs/Backend/Serial/CurveModels/ProjectivePoint/AsExtended.lean,curve25519_dalek::backend::serial::curve_models::{curve25519_dalek::backend::serial::curve_models::ProjectivePoint}::as_extended,verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
curve25519_dalek.backend.serial.curve_models.ProjectivePoint.double,Curve25519Dalek/Specs/Backend/Serial/CurveModels/ProjectivePoint/Double.lean,curve25519_dalek::backend::serial::curve_models::{curve25519_dalek::backend::serial::curve_models::ProjectivePoint}::double,verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
curve25519_dalek.backend.serial.curve_models.ConditionallySelectableAffineNielsPoint.conditional_assign,Curve25519Dalek/Specs/Backend/Serial/CurveModels/AffineNielsPoint/ConditionalAssign.lean,curve25519_dalek::backend::serial::curve_models::{subtle::ConditionallySelectable for curve25519_dalek::backend::serial::curve_models::AffineNielsPoint}::conditional_assign,verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
curve25519_dalek.backend.serial.curve_models.ConditionallySelectableProjectiveNielsPoint.conditional_assign,Curve25519Dalek/Specs/Backend/Serial/CurveModels/ProjectiveNielsPoint/ConditionalAssign.lean,curve25519_dalek::backend::serial::curve_models::{subtle::ConditionallySelectable for curve25519_dalek::backend::serial::curve_models::ProjectiveNielsPoint}::conditional_assign,verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
curve25519_dalek.backend.serial.u64.field.AddShared0FieldElement51SharedAFieldElement51FieldElement51.add,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Add.lean,"curve25519_dalek::backend::serial::u64::field::{core::ops::arith::Add<&'a (curve25519_dalek::backend::serial::u64::field::FieldElement51), curve25519_dalek::backend::serial::u64::field::FieldElement51> for &1 (curve25519_dalek::backend::serial::u64::field::FieldElement51)}::add",verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
curve25519_dalek.backend.serial.u64.field.AddAssignFieldElement51SharedAFieldElement51.add_assign,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/AddAssign.lean,curve25519_dalek::backend::serial::u64::field::{core::ops::arith::AddAssign<&'a (curve25519_dalek::backend::serial::u64::field::FieldElement51)> for curve25519_dalek::backend::serial::u64::field::FieldElement51}::add_assign,verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
curve25519_dalek.backend.serial.u64.field.NegShared0FieldElement51FieldElement51.neg,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Neg.lean,curve25519_dalek::backend::serial::u64::field::{core::ops::arith::Neg<curve25519_dalek::backend::serial::u64::field::FieldElement51> for &0 (curve25519_dalek::backend::serial::u64::field::FieldElement51)}::neg,verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
curve25519_dalek.backend.serial.u64.field.SubShared0FieldElement51SharedAFieldElement51FieldElement51.sub,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Sub.lean,"curve25519_dalek::backend::serial::u64::field::{core::ops::arith::Sub<&'a (curve25519_dalek::backend::serial::u64::field::FieldElement51), curve25519_dalek::backend::serial::u64::field::FieldElement51> for &1 (curve25519_dalek::backend::serial::u64::field::FieldElement51)}::sub",verified,2026-01-13,6ef280e8bea083e7efb115870f97aa8ac0887361,Update utility scripts and site (#365)
